ID,Type,In stock?
2345,simple,0
2400,simple,0
2409,variation,0
2411,variation,0
2438,variation,0
3233,variable,0
3235,variation,0
3236,variation,0
4157,simple,0
4322,simple,0
5273,simple,0
5519,simple,0
5547,simple,0
5567,simple,0
5601,simple,0
5627,simple,0
5645,simple,0
5664,simple,0
5666,simple,0
5668,simple,0
5686,simple,0
5730,simple,0
5744,variable,0
5748,simple,0
5759,variable,0
5910,variation,0
5911,variation,0
5912,variation,0
5913,variation,0
5917,variation,0
5927,variation,0
5928,variation,0
5929,variation,0
5992,simple,0
6002,simple,0
6075,simple,0
6091,simple,0
6093,variable,0
6095,variation,0
6096,variation,0
6124,variable,0
6127,variation,0
6128,variation,0
6133,simple,0
6137,variable,0
6138,variation,0
6139,variation,0
6163,simple,0
6195,variable,0
6197,variation,0
6198,variation,0
6199,variation,0
6200,variation,0
6201,variation,0
6202,variation,0
6203,variation,0
6204,variation,0
6205,variation,0
6206,variation,0
6213,simple,0
6216,simple,0
6274,simple,0
6500,simple,0
6522,variable,0
6523,variation,0
6524,variation,0
6526,variable,0
6528,variation,0
6529,variation,0
7067,simple,0
7069,simple,0
7087,simple,0
7187,simple,0
7237,simple,0
7252,simple,0
7340,simple,0
7465,simple,0
7470,simple,0
7473,simple,0
7498,simple,0
7504,simple,0
8986,simple,0
9220,simple,0
9231,simple,0
9273,simple,0
9362,simple,0
9364,simple,0
10044,simple,0
10055,simple,0
10193,simple,0
10217,simple,0
10253,simple,0
10298,simple,0
10306,simple,0
10320,simple,0
10368,simple,0
10458,variable,0
10484,simple,0
10504,variation,0
10505,variation,0
10563,simple,0
10567,simple,0
10592,variable,0
10596,variation,0
10597,variation,0
10598,simple,0
11391,simple,0
11399,simple,0
11400,simple,0
11412,simple,0
11416,simple,0
11420,simple,0
11422,simple,0
11443,simple,0
11459,simple,0
11540,simple,0
11603,simple,0
11658,variable,0
11660,variation,0
11661,variation,0
11662,variation,0
11663,variation,0
11677,simple,0
11701,simple,0
11716,simple,0
11752,variable,0
11760,variation,0
11761,variation,0
11762,variation,0
11763,variation,0
11764,variation,0
11819,simple,0
11877,variable,0
11880,variation,0
11881,variation,0
11882,variation,0
11883,variation,0
11884,variation,0
11935,simple,0
11938,simple,0
11987,variable,0
12009,simple,0
12037,simple,0
12095,simple,0
12115,simple,0
12136,simple,0
12183,simple,0
12210,simple,0
12215,simple,0
12222,simple,0
12227,simple,0
12231,simple,0
12232,simple,0
12233,simple,0
12236,simple,0
12246,simple,0
12250,simple,0
12251,variable,0
12252,variation,0
12253,variation,0
12254,variation,0
12255,variation,0
12256,variation,0
12257,variation,0
12303,simple,0
13131,simple,0
13414,simple,0
13711,variation,0
