Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
wb114,WB113,,Warm Wishes Florist ,Bridal Bouquet,"",true,Title,Default Title,,,,,"",0,,1,deny,manual,190.00,,true,true,,https://cdn.shopify.com/s/files/1/0920/9480/products/14cfb506e2eabe82736004723ba6c608.jpeg?v=1439189653,,false,,,,,,,,,,,,,,,,,kg
wb112,WB112,,Warm Wishes Florist ,Bridal Bouquet,"",true,Title,Default Title,,,,,"",0,,1,deny,manual,200.00,,true,true,,https://cdn.shopify.com/s/files/1/0920/9480/products/0a0143deafc774a95777a22c8f84e4bc.jpeg?v=1439189562,,false,,,,,,,,,,,,,,,,,kg
hb127,HB127,"<p>This bouquet comes in 3 tones of roses including Red, pink, white and it beautifully completed with spray roses and baby's breath.</p>
<p>[As shown, total 40 stalks of roses]</p>
<p>Other option: 60 stalks</p>",Warm Wishes Florist ,Hand Bouquet,RM200-RM299,true,Size,40 Roses,,,,,"",0,,1,deny,manual,230.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/b9341124abfd55fb9b10b4b44a2e95ef.png?v=1438783767,,false,,,,,,,,,,,,,,,,,kg
hb127,,,,,,,,60 Roses,,,,,"",0,,1,deny,manual,330.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/2eb9a2e622dc55c4d6f2fad69697b331.png?v=1438783779,,,,,,,,,,,,,,,,,,,kg
hb127,,,,,,,,99 Roses,,,,,"",0,,1,deny,manual,450.00,,true,true,"",,,,,,,,,,,,,,,,,,,,kg
wb111,WB111,"Pastel bridal bouquet consists of 1 white hydrangea, 15 light pink roses and eustomas.",Warm Wishes Florist ,Bridal Bouquet,RM100-RM199,true,Title,Default Title,,,,,"",0,,1,deny,manual,170.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/8425e94eac5de4dab48d179b6295a7b4.jpeg?v=1437957166,,false,,,,,,,,,,,,,,,,,kg
wb111,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0920/9480/products/85e92d4ce51ca4338ca42878611f703b.jpeg?v=1437959095,,,,,,,,,,,,,,,,,,,
wb111,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0920/9480/products/6f035dc65f16ecd0062b9bfb1677fe58.png?v=1438130272,,,,,,,,,,,,,,,,,,,
wb110,WB110,"<p>Red is an essential on your big day! Bouquet consists of 10 stalks of red carnations and 20 stalks of red roses elegantly decorated with Swarovski.</p>
<p>*Color can be changed i.e. soft pink, Fuchsia pink, white. Kindly state on the request box.</p>",Warm Wishes Florist ,Bridal Bouquet,RM100-RM199,true,Title,Default Title,,,,,"",0,,1,deny,manual,190.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/21bd56db9ff6abbd555817ef77448cdb.png?v=1437956829,,false,,,,,,,,,,,,,,,,,kg
wb-109,WB109,"<p>Love being raw and natural? Go for this!</p>
<p>Made up with combination of 2 peonies, Eustomas and greens!</p>
<p>[Seasonal]</p>",Warm Wishes Florist ,Bridal Bouquet,RM200-RM299,true,Title,Default Title,,,,,"",0,,1,deny,manual,230.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/28a5b73260a886a270b8841f7868ea2f.png?v=1437956109,,false,,,,,,,,,,,,,,,,,kg
