id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
WWF23449_23449,"Forever in heart","Forever in heart",https://warmwishesflorist.com/wp-content/uploads/2021/02/2021-02-23-033019537-scaled.jpg,https://warmwishesflorist.com/shop/forever-in-heart/,"Flower Stand, Sympathy","Warm Wishes Florist",338MYR,in stock,WWF23449_23449,,"https://warmwishesflorist.com/wp-content/uploads/2021/02/2021-02-23-032958582-scaled.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,338MYR,new,published,,,,,984,,
WWF23354_23354,"Luna","This bloom box features 30 stalks of red roses surrounded with baby breaths!",https://warmwishesflorist.com/wp-content/uploads/2020/07/da40b481-4fdf-4cee-b52f-f277356246e2.jpg,https://warmwishesflorist.com/shop/luna-2/,"Bloom Box, Annivesary, Birthday","Warm Wishes Florist",258MYR,in stock,WWF23354_23354,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,258MYR,new,published,,,,,984,,
WWF23337_23345,"Venus (Preserved)","Colour: Sweetheart Pink",https://warmwishesflorist.com/wp-content/uploads/2021/02/20210209_170604-scaled.jpg,https://warmwishesflorist.com/shop/venus-preserved/?attribute_colour=Sweetheart+Pink,"Best Selling Flowers, Bloom Box, Annivesary, Birthday","Warm Wishes Florist",398MYR,in stock,WWF23337_23337,,"https://warmwishesflorist.com/wp-content/uploads/2021/02/2021-02-10-054540304-scaled.jpg,https://warmwishesflorist.com/wp-content/uploads/2021/02/20210209_170854-scaled.jpg,https://warmwishesflorist.com/wp-content/uploads/2021/02/2021-02-10-054721380-scaled.jpg,https://warmwishesflorist.com/wp-content/uploads/2021/02/20210209_170844-scaled.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,398MYR,new,published,,,,,2899,,
WWF23337_23344,"Venus (Preserved)","Colour: Dark Red",https://warmwishesflorist.com/wp-content/uploads/2021/02/20210209_170604-scaled.jpg,https://warmwishesflorist.com/shop/venus-preserved/?attribute_colour=Dark+Red,"Best Selling Flowers, Bloom Box, Annivesary, Birthday","Warm Wishes Florist",398MYR,out of stock,WWF23337_23337,,"https://warmwishesflorist.com/wp-content/uploads/2021/02/2021-02-10-054540304-scaled.jpg,https://warmwishesflorist.com/wp-content/uploads/2021/02/20210209_170854-scaled.jpg,https://warmwishesflorist.com/wp-content/uploads/2021/02/2021-02-10-054721380-scaled.jpg,https://warmwishesflorist.com/wp-content/uploads/2021/02/20210209_170844-scaled.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,398MYR,new,published,,,,,2899,,
WWF23318_23318,"Penelope (Preserved)","Combination of 3 preserved hydrangeas, sweet and pastelly done 
 
Valentine's Day Flower 
 
  
 
Size: Approximately 55 X 45cm",https://warmwishesflorist.com/wp-content/uploads/2021/01/2021-01-12-111221778.jpg,https://warmwishesflorist.com/shop/penelope-preserved-2/,"Annivesary, Birthday, Graduation, Preserved Eterno","Warm Wishes Florist",298MYR,out of stock,WWF23318_23318,,"https://warmwishesflorist.com/wp-content/uploads/2021/01/2021-01-10-100200972.jpg,https://warmwishesflorist.com/wp-content/uploads/2021/01/2021-01-08-074127569-scaled.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,298MYR,new,published,,,,,984,,
WWF23314_23316,"Vida","Stalks: 60 stalks",https://warmwishesflorist.com/wp-content/uploads/2021/01/2021-01-13-125718667.jpg,https://warmwishesflorist.com/shop/vida-2/?attribute_pa_stalks=60-stalks,"Hand Bouquets, Annivesary, Birthday","Warm Wishes Florist",428MYR,in stock,WWF23314_23314,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,428MYR,new,published,,,,,984,,"stalks:40 stalks/60 stalks/99 stalks:60 stalks"
WWF23314_23317,"Vida","Stalks: 99 stalks",https://warmwishesflorist.com/wp-content/uploads/2021/01/2021-01-13-125718667.jpg,https://warmwishesflorist.com/shop/vida-2/?attribute_pa_stalks=99-stalks,"Hand Bouquets, Annivesary, Birthday","Warm Wishes Florist",568MYR,in stock,WWF23314_23314,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,568MYR,new,published,,,,,984,,"stalks:40 stalks/60 stalks/99 stalks:99 stalks"
WWF23314_23315,"Vida","Stalks: 40 stalks",https://warmwishesflorist.com/wp-content/uploads/2021/01/2021-01-13-125718667.jpg,https://warmwishesflorist.com/shop/vida-2/?attribute_pa_stalks=40-stalks,"Hand Bouquets, Annivesary, Birthday","Warm Wishes Florist",328MYR,in stock,WWF23314_23314,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,328MYR,new,published,,,,,984,,"stalks:40 stalks/60 stalks/99 stalks:40 stalks"
WWF23291_23293,"Marvel (Preserved)","Options: with Wine",https://warmwishesflorist.com/wp-content/uploads/2021/02/2021-02-05-100847680-scaled.jpg,https://warmwishesflorist.com/shop/marvel-preserved/?attribute_options=with+Wine,"Bloom Box, Annivesary, Birthday, Preserved Eterno","Warm Wishes Florist",318MYR,in stock,WWF23291_23291,,"https://warmwishesflorist.com/wp-content/uploads/2021/02/2021-02-05-100853795-scaled.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,318MYR,new,published,,,,,984,,"options:with Moet/with Wine:with Wine"
WWF23291_23292,"Marvel (Preserved)","Options: with Moet",https://warmwishesflorist.com/wp-content/uploads/2021/02/2021-02-05-100847680-scaled.jpg,https://warmwishesflorist.com/shop/marvel-preserved/?attribute_options=with+Moet,"Bloom Box, Annivesary, Birthday, Preserved Eterno","Warm Wishes Florist",318MYR,in stock,WWF23291_23291,,"https://warmwishesflorist.com/wp-content/uploads/2021/02/2021-02-05-100853795-scaled.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,318MYR,new,published,,,,,984,,"options:with Moet/with Wine:with Moet"
WWF23288_23289,"Dark Knight (Preserved)","Options: with Moet",https://warmwishesflorist.com/wp-content/uploads/2021/01/2021-02-04-115918432-scaled.jpg,https://warmwishesflorist.com/shop/dark-knight-preserved/?attribute_options=with+Moet,"Bloom Box, Annivesary, Birthday, For Him, Preserved Eterno","Warm Wishes Florist",318MYR,in stock,WWF23288_23288,,"https://warmwishesflorist.com/wp-content/uploads/2021/01/2021-02-04-115918432-scaled.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,318MYR,new,published,,,,,984,,"options:with Moet/with Wine:with Moet"
WWF23288_23290,"Dark Knight (Preserved)","Options: with Wine",https://warmwishesflorist.com/wp-content/uploads/2021/01/2021-02-04-115918432-scaled.jpg,https://warmwishesflorist.com/shop/dark-knight-preserved/?attribute_options=with+Wine,"Bloom Box, Annivesary, Birthday, For Him, Preserved Eterno","Warm Wishes Florist",318MYR,in stock,WWF23288_23288,,"https://warmwishesflorist.com/wp-content/uploads/2021/01/2021-02-04-115918432-scaled.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,318MYR,new,published,,,,,984,,"options:with Moet/with Wine:with Wine"
WWF23272_23272,"Canali","Approximately 30-35 roses decorated in a heart shaped acrylic rose gold box",https://warmwishesflorist.com/wp-content/uploads/2021/02/2021-02-03-110007725-1-scaled.jpg,https://warmwishesflorist.com/shop/canali/,"Bloom Box, Annivesary, Birthday","Warm Wishes Florist",488MYR,out of stock,WWF23272_23272,,"https://warmwishesflorist.com/wp-content/uploads/2021/02/2021-02-03-110013635-2-scaled.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,488MYR,new,published,,,,,984,,
WWF23252_23257,"Jadore","Stalks: 60 stalks",https://warmwishesflorist.com/wp-content/uploads/2021/02/2021-02-02-012629377-scaled.jpg,https://warmwishesflorist.com/shop/jadore/?attribute_pa_stalks=60-stalks,"Hand Bouquets, Annivesary, Birthday","Warm Wishes Florist",698MYR,in stock,WWF23252_23252,,"https://warmwishesflorist.com/wp-content/uploads/2021/02/2021-02-02-012240756.jpg,https://warmwishesflorist.com/wp-content/uploads/2021/02/2021-02-02-012637724-scaled.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,698MYR,new,published,,,,,984,,"stalks:30 stalks/60 stalks/99 stalks:60 stalks"
