id,title,description,"item group id",link,"product type","google product category","image link",condition,availability,price,"sale price",mpn,brand,"identifier exists"
22750,"Julia Bouquet","Featuring 10 stalks of pink roses with fillers",22750,https://warmwishesflorist.com/product/julia-bouquet/,"Best Selling Flowers",2899,https://warmwishesflorist.com/wp-content/uploads/2020/05/1415741c-0b7a-49a5-a013-fb5ceaea60bf.jpg,new,"in stock","150.00  MYR","150.00  MYR",WWF22750,"Warm Wishes Florist",yes
22745,"Daphne Bouquet","Featuring 10 stalks of white and pink roses with fillers",22745,https://warmwishesflorist.com/product/daphne-bouquet/,"Best Selling Flowers",2899,https://warmwishesflorist.com/wp-content/uploads/2020/08/e0bafee0-f580-448f-939f-bf679f4b6470.jpg,new,"in stock","150.00  MYR","150.00  MYR",WWF22745,"Warm Wishes Florist",yes
22742,"Theia Bouquet","Featuring 99's of pastel roses!",22742,https://warmwishesflorist.com/product/theia-bouquet/,"Best Selling Flowers",2899,https://warmwishesflorist.com/wp-content/uploads/2020/11/ab88fc2f-b8a2-407d-b296-1fb9b3533d15.jpg,new,"in stock","580.00  MYR","580.00  MYR",WWF22742,"Warm Wishes Florist",yes
22740,"Colette Bouquet","Featuring roses, hydrangea, pink tulips and fillers",22740,https://warmwishesflorist.com/product/colette-bouquet/,"Best Selling Flowers",2899,https://warmwishesflorist.com/wp-content/uploads/2020/09/f610baa0-6614-4742-9711-636734f0d555.jpg,new,"in stock","310.00  MYR","310.00  MYR",WWF22740,"Warm Wishes Florist",yes
22736,"Dear, Chamomile Bloom Box","Featuring mini hot air balloon with chamomile & baby breath!  Approximate measurement:    30cm (H) X 6.5 (W)",22736,https://warmwishesflorist.com/product/dear-chamomile-bloom-box/,"Best Selling Flowers",2899,https://warmwishesflorist.com/wp-content/uploads/2020/11/428f24d8-d78c-47b3-a166-68a8febbb2d6.jpg,new,"in stock","118.00  MYR","118.00  MYR",WWF22736,"Warm Wishes Florist",yes
22735,"Daiz Bloom Box (Preserved)","Preserved flowers are fresh cut flowers which undergoes a unique preservation process that leave the flowers looking natural by maintaining their original suppleness, shape, brightness and will last for several months or even years.",22735,https://warmwishesflorist.com/product/daiz-bloom-box-preserved/,"Best Selling Flowers",2899,https://warmwishesflorist.com/wp-content/uploads/2020/11/fd2584a3-3d19-40c8-b669-7d8976020249.jpg,new,"in stock","288.00  MYR","288.00  MYR",WWF22735,"Warm Wishes Florist",yes
22734,"Summertime Bouquet","Featuring 50's of sunflowers!    Radiant, lush and full of joy - sunflowers bring summertime to mind and happiness to our loved ones.",22734,https://warmwishesflorist.com/product/summertime-bouquet/,"Best Selling Flowers",2899,https://warmwishesflorist.com/wp-content/uploads/2020/11/82270935-eee8-4398-ac28-6ff1fd663c42.jpg,new,"in stock","508.00  MYR","508.00  MYR",WWF22734,"Warm Wishes Florist",yes
22714,"Brenna - 20 STALKS (AS SHOWN)","Featuring 20 stalks of pink & white roses with fillers!",22712,https://warmwishesflorist.com/product/brenna/?attribute_options=20+STALKS+%28AS+SHOWN%29,"Best Selling Flowers",2899,https://warmwishesflorist.com/wp-content/uploads/2020/12/bb70c6bf-d93b-4dcc-bd85-f3c212222456.jpg,new,"in stock","190.00  MYR","190.00  MYR",WWF22712,"Warm Wishes Florist",yes
22715,"Brenna - 40 STALKS","Featuring 20 stalks of pink & white roses with fillers!",22712,https://warmwishesflorist.com/product/brenna/?attribute_options=40+STALKS,"Best Selling Flowers",2899,https://warmwishesflorist.com/wp-content/uploads/2020/12/bb70c6bf-d93b-4dcc-bd85-f3c212222456.jpg,new,"in stock","290.00  MYR","290.00  MYR",WWF22712,"Warm Wishes Florist",yes
22716,"Brenna - 60 STALKS","Featuring 20 stalks of pink & white roses with fillers!",22712,https://warmwishesflorist.com/product/brenna/?attribute_options=60+STALKS,"Best Selling Flowers",2899,https://warmwishesflorist.com/wp-content/uploads/2020/12/bb70c6bf-d93b-4dcc-bd85-f3c212222456.jpg,new,"in stock","390.00  MYR","390.00  MYR",WWF22712,"Warm Wishes Florist",yes
22717,"Brenna - 99 STALKS","Featuring 20 stalks of pink & white roses with fillers!",22712,https://warmwishesflorist.com/product/brenna/?attribute_options=99+STALKS,"Best Selling Flowers",2899,https://warmwishesflorist.com/wp-content/uploads/2020/12/bb70c6bf-d93b-4dcc-bd85-f3c212222456.jpg,new,"in stock","550.00  MYR","550.00  MYR",WWF22712,"Warm Wishes Florist",yes
22710,Ruth,,22710,https://warmwishesflorist.com/product/ruth/,"Best Selling Flowers",2899,https://warmwishesflorist.com/wp-content/uploads/2020/12/4bb49e5d-1dd4-488d-be61-5e37a27d4127.jpg,new,"in stock","388.00  MYR","388.00  MYR",WWF22710,"Warm Wishes Florist",yes
22702,"Jolyne (Preserved)","Featuring small glass dome with 2 preserved rose & dried fillers!    Approximate measurement: 12cm x 12cm",22702,https://warmwishesflorist.com/product/jolyne-preserved/,"Best Selling Flowers",2899,https://warmwishesflorist.com/wp-content/uploads/2020/12/bf18b679-9759-4ad5-86b2-dd65ef9962f3.jpg,new,"in stock","160.00  MYR","160.00  MYR",WWF22702,"Warm Wishes Florist",yes
22696,"Flounder (Preserved)","Preserved blue theme flowers",22696,https://warmwishesflorist.com/product/flounder-preserved/,"Preserved Eterno>Annivesary>Birthday>For Him",2899,https://warmwishesflorist.com/wp-content/uploads/2020/12/2020-12-06-050028265-scaled.jpg,new,"in stock","298.00  MYR","298.00  MYR",WWF22696,"Warm Wishes Florist",yes
22692,"Shinning Bright (Preserved)","Customised wording on Acrylic piece (max 70 characters including spacing)    Decorated with everlasting flowers",22692,https://warmwishesflorist.com/product/shinning-bright/,"Preserved Eterno>Birthday>Grand Opening",2899,https://warmwishesflorist.com/wp-content/uploads/2020/12/2020-12-06-044807784-scaled.jpg,new,"in stock","298.00  MYR","298.00  MYR",WWF22692,"Warm Wishes Florist",yes
22674,Triumph,,22674,https://warmwishesflorist.com/product/triumph/,"Flower Stand",2899,https://warmwishesflorist.com/wp-content/uploads/2020/12/2020-12-03-052049137-scaled.jpg,new,"in stock","298.00  MYR","298.00  MYR",WWF22674,"Warm Wishes Florist",yes
22662,Brianna,"Fresh Flowers | Same Day Delivery",22662,https://warmwishesflorist.com/product/brianna/,"Flower In Jar>Preserved Eterno",2899,https://warmwishesflorist.com/wp-content/uploads/2020/11/2020-11-29-110828082-scaled.jpg,new,"in stock","248.00  MYR","248.00  MYR",WWF22662,"Warm Wishes Florist",yes
22658,"Tangerine Love","10 stalks of Holland tulips in cute cone    &nbsp;",22658,https://warmwishesflorist.com/product/tangerine-love/,"Hand Bouquets>Annivesary>Birthday",2899,https://warmwishesflorist.com/wp-content/uploads/2020/11/2020-11-29-105821920-scaled.jpg,new,"in stock","188.00  MYR","188.00  MYR",WWF22658,"Warm Wishes Florist",yes
22653,"In heaven's arm","Fresh Flowers | Same Day Delivery",22653,https://warmwishesflorist.com/product/in-heavens-arm/,"Flower Stand>Occasions>Sympathy",2899,https://warmwishesflorist.com/wp-content/uploads/2020/11/2020-11-28-112953931-scaled.jpg,new,"in stock","580.00  MYR","580.00  MYR",WWF22653,"Warm Wishes Florist",yes
22651,Summertime,"Featuring 50's of sunflowers!    Radiant, lush and full of joy - sunflowers bring summertime to mind and happiness to our loved ones.",22651,https://warmwishesflorist.com/product/summertime/,"Hand Bouquets>Occasions>Top Selling>Annivesary>Birthday>Graduation",2899,https://warmwishesflorist.com/wp-content/uploads/2020/11/82270935-eee8-4398-ac28-6ff1fd663c42.jpg,new,"in stock","488.00  MYR","488.00  MYR",WWF22651,"Warm Wishes Florist",yes
22649,"Blissful Bite Bundle (Weekend Only) - Blissful Bite Bundle w/ Moist Chocolate Cupcakes","Fresh Flowers | Same Day Delivery",22643,https://warmwishesflorist.com/product/blissful-bite-bundle/?attribute_options=Blissful+Bite+Bundle+w%2F+Moist+Chocolate+Cupcakes,"Bloom Box>Occasions>Preserved Eterno>Annivesary>Birthday",2899,https://warmwishesflorist.com/wp-content/uploads/2020/11/839e6805-ede4-41c9-a651-4f10ed8cefc3.jpg,new,"in stock","368.00  MYR","368.00  MYR",WWF22643,"Warm Wishes Florist",yes
22650,"Blissful Bite Bundle (Weekend Only) - Blissful Bite Bundle w/ Earl Grey Cupcakes","Fresh Flowers | Same Day Delivery",22643,https://warmwishesflorist.com/product/blissful-bite-bundle/?attribute_options=Blissful+Bite+Bundle+w%2F+Earl+Grey+Cupcakes,"Bloom Box>Occasions>Preserved Eterno>Annivesary>Birthday",2899,https://warmwishesflorist.com/wp-content/uploads/2020/11/839e6805-ede4-41c9-a651-4f10ed8cefc3.jpg,new,"in stock","368.00  MYR","368.00  MYR",WWF22643,"Warm Wishes Florist",yes
22638,"Beauty & the Beast","Fresh Flowers | Same Day Delivery",22638,https://warmwishesflorist.com/product/beauty-the-beast/,Weddings,2899,https://warmwishesflorist.com/wp-content/uploads/2020/11/2020-11-28-124842537-scaled.jpg,new,"in stock","238.00  MYR","238.00  MYR",WWF22638,"Warm Wishes Florist",yes
22633,"Champagne corsage","Fresh Flowers | Same Day Delivery",22633,https://warmwishesflorist.com/product/champagne-corsage/,Weddings,2899,https://warmwishesflorist.com/wp-content/uploads/2020/11/2020-11-27-022540416-scaled.jpg,new,"in stock","15.00  MYR","15.00  MYR",WWF22633,"Warm Wishes Florist",yes
22628,"Eternal Snow White","Featuring 98 stalks of white rose + 1 Preserved Rose that last forever",22628,https://warmwishesflorist.com/product/eternal-snow-white/,"Hand Bouquets>Annivesary>Birthday>Proposal",2899,https://warmwishesflorist.com/wp-content/uploads/2020/11/2020-11-21-120518108-scaled.jpg,new,"in stock","568.00  MYR","568.00  MYR",WWF22628,"Warm Wishes Florist",yes
22625,Knot,"Fresh Flowers | Same Day Delivery",22625,https://warmwishesflorist.com/product/new-beginning-2/,Weddings,2899,https://warmwishesflorist.com/wp-content/uploads/2020/11/2020-11-27-022401674-scaled.jpg,new,"in stock","238.00  MYR","238.00  MYR",WWF22625,"Warm Wishes Florist",yes
